Func,iPWO_med,PWO_med,iPWO_mean,PWO_mean
1,100.000000001434,22452620830.5218,100.000000056919,21274759881.8764
4,428.5127115315,3444.09463785852,456.485979378245,3990.67627473241
5,550.742881684843,904.966071334368,549.690183436895,896.049244483911
6,600.000000047943,669.558075832171,600.000000840818,669.444259622203
7,796.76997192066,1785.37610420009,798.961230525842,1780.98574117771
8,847.757999475745,1224.88739530403,849.964726358206,1215.86782071543
9,900.179056500833,13693.8103936342,900.436427531734,14228.5853328752
10,4761.17926156137,8775.42446570329,4759.5172006533,8705.89239534009
15,1654.3382101294,42420.6073114689,1670.01208156256,477905672.712918
21,2354.72331609679,2950.88597102131,2355.27996045536,2952.79847935766
