Func,BestScore,AvgCurveEnd,SuccessRuns,RunMax,AvgTime(s)
F10,1.016001e+04,1.257563e+04,30,30,38.02
F11,1.489427e+03,1.929685e+03,30,30,32.47
F12,5.586905e+04,1.576383e+05,30,30,37.32
F13,1.504027e+03,4.925175e+03,30,30,35.76
F14,2.336170e+03,5.512355e+03,30,30,47.66
F15,1.675353e+03,3.888200e+03,30,30,42.69
F16,3.579347e+03,4.257334e+03,30,30,35.51
F17,2.735657e+03,3.544151e+03,30,30,49.31
F18,5.647523e+03,1.849639e+04,30,30,33.02
F19,2.031509e+03,4.957085e+03,30,30,81.25
F1,1.000000e+02,1.520776e+02,30,30,37.37
F20,3.088240e+03,3.581935e+03,30,30,50.86
F21,2.453974e+03,2.503570e+03,30,30,64.69
F22,1.334597e+04,1.558467e+04,30,30,72.21
F23,2.917272e+03,2.979585e+03,30,30,58.70
F24,3.398224e+03,3.459078e+03,30,30,63.60
F25,3.139069e+03,3.263459e+03,30,30,63.70
F26,7.001822e+03,7.617863e+03,30,30,73.94
F27,3.387746e+03,3.449722e+03,30,30,82.50
F28,3.284036e+03,3.353157e+03,30,30,76.94
F29,4.020143e+03,5.114686e+03,30,30,57.36
F30,5.386023e+03,5.950722e+03,30,30,96.88
F3,2.597495e+03,2.139846e+04,30,30,29.58
F4,4.640852e+02,5.734481e+02,30,30,30.53
F5,6.004908e+02,6.751788e+02,30,30,32.84
F6,6.000018e+02,6.001014e+02,30,30,39.39
F7,9.817521e+02,1.028051e+03,30,30,30.33
F8,9.233748e+02,9.643658e+02,30,30,31.27
F9,1.021986e+03,1.459893e+03,30,30,36.12
