Func,Best,Median,Mean,Std,SuccessRuns,AvgTime(s)
F10,2.500144e+03,2.510837e+03,2.510837e+03,N/A,30,0.596
F11,2.600000e+03,2.870000e+03,2.870000e+03,N/A,30,0.614
F12,2.861405e+03,2.864059e+03,2.864059e+03,N/A,30,0.641
F1,3.000000e+02,3.000000e+02,3.000000e+02,N/A,30,0.467
F2,4.000000e+02,4.060213e+02,4.060213e+02,N/A,30,0.419
F3,6.000000e+02,6.000000e+02,6.000000e+02,N/A,30,0.521
F4,8.029849e+02,8.059034e+02,8.059034e+02,N/A,30,0.460
F5,9.000000e+02,9.000000e+02,9.000000e+02,N/A,30,0.450
F6,1.800066e+03,1.801885e+03,1.801885e+03,N/A,30,0.676
F7,2.000000e+03,2.000721e+03,2.000721e+03,N/A,30,0.599
F8,2.200000e+03,2.203562e+03,2.203562e+03,N/A,30,0.660
F9,2.529284e+03,2.529284e+03,2.529284e+03,N/A,30,0.529
