CEC2017 跨函数汇总
参与函数数: 12 / 30
Friedman p = 1.791771e-15

Algorithm	Mean	Std	Median	SE	AvgRank	Win	Tie	Loss
iPWO	5.592481e+04	1.822655e+05	3.147886e+03	5.261552e+04	1.000	0	0	0
PWO	4.482954e+06	1.531496e+07	4.737066e+03	4.421048e+06	2.000	0	0	12
SFOA	3.300162e+07	9.649062e+07	5.780030e+03	2.785444e+07	3.000	0	0	12
DRA	6.946546e+08	1.682569e+09	1.622178e+04	4.857158e+08	4.000	0	0	12
MGO	2.546009e+05	8.646402e+05	3.313705e+03	2.496001e+05	5.000	0	0	12
LCA	2.244822e+09	5.509439e+09	1.899126e+04	1.590438e+09	6.000	0	0	12
DE	9.824773e+04	3.242787e+05	3.392096e+03	9.361121e+04	7.000	0	0	12
PSO	3.299398e+06	9.818795e+06	4.016451e+03	2.834442e+06	8.000	0	0	12
GWO	6.525903e+06	2.183266e+07	3.916736e+03	6.302546e+06	9.000	0	0	12
