Func,BestScore,AvgCurveEnd,SuccessRuns,RunMax,AvgTime(s)
F10,1.000187e+03,1.043695e+03,30,30,0.65
F11,1.100000e+03,1.100630e+03,30,30,0.55
F12,1.200000e+03,1.396447e+03,30,30,0.52
F13,1.300995e+03,1.304885e+03,30,30,0.44
F14,1.400000e+03,1.400829e+03,30,30,0.48
F15,1.500000e+03,1.500428e+03,30,30,0.44
F16,1.600007e+03,1.608873e+03,30,30,0.46
F17,1.700000e+03,1.700254e+03,30,30,0.51
F18,1.800002e+03,1.801847e+03,30,30,0.44
F19,1.900000e+03,1.900052e+03,30,30,0.85
F1,1.000000e+02,1.000000e+02,30,30,0.44
F20,2.000000e+03,2.000243e+03,30,30,0.74
F21,2.200000e+03,2.287591e+03,30,30,0.54
F22,2.300000e+03,2.300136e+03,30,30,0.58
F23,2.600000e+03,2.604943e+03,30,30,0.70
F24,2.500000e+03,2.711965e+03,30,30,1.12
F25,2.897743e+03,2.927459e+03,30,30,0.64
F26,2.900000e+03,2.931887e+03,30,30,0.65
F27,3.087324e+03,3.090411e+03,30,30,0.95
F28,3.100000e+03,3.232315e+03,30,30,0.62
F29,3.128708e+03,3.141907e+03,30,30,0.63
F30,3.402334e+03,1.124382e+05,30,30,1.25
F3,3.000000e+02,3.000000e+02,30,30,0.44
F4,4.000000e+02,4.000000e+02,30,30,0.55
F5,5.000000e+02,5.023547e+02,30,30,0.46
F6,6.000000e+02,6.000000e+02,30,30,0.52
F7,7.108608e+02,7.123889e+02,30,30,0.65
F8,8.000000e+02,8.028191e+02,30,30,0.50
F9,9.000000e+02,9.000000e+02,30,30,0.49
