R,G,B,Algorithm,Best,Median,Mean,Std,AvgRank,p_vs_iPWO
1,0.2,0.27,iPWO,201.63850996323,314.139424963977,327.804685168031,86.9563216502528,2.41176470588235,NaN
0.12,0.47,0.71,PWO,340.705098255735,931.727804590097,961.312399762656,355.287780723009,6.74509803921569,1.06524850064759e-17
0.17,0.63,0.17,GWO,213.985391621875,396.349561069176,445.224730699884,188.211413006868,3.96078431372549,0.000226306448275953
0.58,0.4,0.74,PSO,199.075727355395,343.57339249262,355.611059919837,105.17734023614,2.84313725490196,0.215660129038674
0,0,0,DE,227.049487042013,557.01304734513,559.93646820537,137.082118950637,5.43137254901961,2.10582790071867e-13
0.55,0.34,0.29,MGO,234.480380518976,381.981026782993,376.624820772541,71.055681393116,3.45098039215686,0.00154736552786072
0.89,0.47,0.19,SFOA,216.865126525108,363.631616630962,367.859633337713,78.0983552113208,3.15686274509804,0.00853261180619021
