CEC2017 跨函数汇总
参与函数数: 29 / 30
Friedman p = 3.734052e-42

Algorithm	Mean	Std	Median	SE	AvgRank	Win	Tie	Loss
iPWO	2.576067e+03	2.803585e+03	1.959225e+03	5.206127e+02	1.034	0	0	0
PWO	3.809088e+05	1.319177e+06	3.447437e+03	2.449651e+05	5.207	0	0	29
SFOA	3.228728e+08	1.572654e+09	4.064807e+03	2.920344e+08	6.897	0	0	29
DRA	2.988463e+09	1.262844e+10	9.104137e+03	2.345042e+09	8.000	0	0	29
MGO	4.869634e+04	1.409399e+05	2.985683e+03	2.617188e+04	2.690	1	1	27
LCA	4.617175e+09	1.564638e+10	1.398190e+04	2.905460e+09	8.931	0	0	29
DE	1.248702e+06	6.664327e+06	2.877517e+03	1.237534e+06	2.448	0	0	29
PSO	8.188084e+07	4.019856e+08	3.304723e+03	7.464685e+07	4.897	0	0	29
GWO	5.381238e+07	2.774829e+08	3.245870e+03	5.152728e+07	4.897	0	0	29
