Func,BestScore,AvgCurveEnd,SuccessRuns,RunMax,AvgTime(s)
F10,4.012653e+03,5.056337e+03,30,30,7.86
F11,1.161688e+03,1.220832e+03,30,30,7.33
F12,3.625400e+03,1.623557e+04,30,30,6.79
F13,1.388170e+03,3.018433e+03,30,30,6.72
F14,1.535580e+03,5.743578e+03,30,30,7.55
F15,1.644842e+03,1.993878e+03,30,30,6.67
F16,2.082941e+03,2.374966e+03,30,30,7.76
F17,2.026462e+03,2.272288e+03,30,30,9.84
F18,2.125874e+03,6.245917e+03,30,30,7.64
F19,1.966448e+03,2.251635e+03,30,30,19.16
F1,1.000000e+02,1.000003e+02,30,30,8.27
F20,2.178451e+03,2.394263e+03,30,30,10.81
F21,2.334792e+03,2.363490e+03,30,30,11.27
F22,2.300000e+03,6.649440e+03,30,30,11.15
F23,2.751207e+03,2.789445e+03,30,30,14.00
F24,2.930084e+03,2.962852e+03,30,30,17.03
F25,2.980310e+03,3.024488e+03,30,30,14.83
F26,3.951207e+03,4.276476e+03,30,30,17.55
F27,3.240169e+03,3.294855e+03,30,30,15.31
F28,3.253352e+03,3.291241e+03,30,30,14.08
F29,3.263148e+03,3.388386e+03,30,30,11.94
F30,5.824113e+05,6.163620e+05,30,30,23.46
F3,3.000016e+02,3.030918e+02,30,30,7.92
F4,4.041425e+02,4.585244e+02,30,30,7.80
F5,5.388034e+02,5.556078e+02,30,30,8.41
F6,6.000000e+02,6.000003e+02,30,30,8.46
F7,7.852125e+02,8.098628e+02,30,30,7.22
F8,8.328336e+02,8.572444e+02,30,30,7.41
F9,9.006334e+02,9.098553e+02,30,30,7.24
