iPWO,noECR,noOED,noNAS,PWO,Func
1,2,3,4,5,1
3,4,2,1,5,3
3,4,2,1,5,4
3,4,1,2,5,5
2,3,1,4,5,6
2,3,1,4,5,7
2,3,1,4,5,8
3,4,1,2,5,9
1,2,4,3,5,10
3,2,4,1,5,11
2,3,1,4,5,12
4,3,2,1,5,13
4,3,2,1,5,14
4,3,2,1,5,15
2,3,4,1,5,16
1,2,4,3,5,17
1,2,4,3,5,18
3,4,1,2,5,19
1,2,3,4,5,20
3,4,1,2,5,21
1,2,3,4,5,22
3,4,1,2,5,23
3,4,1,2,5,24
2,3,1,4,5,25
3,4,2,1,5,26
3,4,1,2,5,27
4,3,2,1,5,28
2,3,4,1,5,29
3,4,2,1,5,30
